"pool_id","name","chain","protocol","symbol","tvl","apy","last_updated","currently_filtered_out","pool_address","underlying_tokens","underlying_token_addresses"
"43641cf5-a92e-416b-bce9-27113d3c0db6",USDC,Ethereum,maple,USDC,2876602286.00,7.3656,2025-10-24 19:43:49.072 +0300,false,,{USDC},{0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48}
"8edfdf02-cdbb-43f7-bca6-954e5fe56813",USDT,Ethereum,maple,USDT,1112135203.00,6.9518,2025-10-24 19:43:49.072 +0300,false,,{USDT},{0xdac17f958d2ee523a2206206994597c13d831ec7}
"4438dabc-7f0c-430b-8136-2722711ae663",USDC,Ethereum,fluid-lending,USDC,244035513.00,6.0500,2025-10-24 19:43:49.072 +0300,false,,{USDC},{0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48}
e91e23af-9099-45d9-8ba5-ea5b4638e453,USDC-RLUSD,Ethereum,curve-dex,USDC-RLUSD,51509713.00,10.2269,2025-10-24 19:43:49.073 +0300,false,,"{USDC,RLUSD}","{0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD}"
"578cffd4-1470-44d0-8c5d-e9d4bd403651",GHO,Ethereum,fluid-lending,GHO,50320092.00,7.1000,2025-10-24 19:43:49.073 +0300,false,,{GHO},{0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f}
"3388eabd-fc53-49bf-b358-d1a6dc3c6112",USDC-USDF,Ethereum,curve-dex,USDC-USDF,45348794.00,6.3495,2025-10-24 19:43:49.073 +0300,false,,"{USDC,USDF}","{0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xFa2B947eEc368f42195f24F36d2aF29f7c24CeC2}"
c89af47f-032a-4c59-bdc9-17a7f1514a3b,USDC,Ethereum,goldfinch,USDC,42575235.00,9.5593,2025-10-24 19:43:49.073 +0300,false,,{USDC},{0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48}
"7da72d09-56ca-4ec5-a45f-59114353e487",USDC,Ethereum,compound-v3,USDC,41704638.00,8.7832,2025-10-24 19:43:49.073 +0300,false,,{USDC},{0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48}
"73e933a7-73b2-43ec-b1e9-d5d1d42ce2de",RLUSD,Ethereum,euler-v2,RLUSD,35906806.00,13.9133,2025-10-24 19:43:49.073 +0300,false,,{RLUSD},{0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD}
be43dcf6-39dd-43b1-85e8-20844c1b0e58,USDT-USDF,Ethereum,uniswap-v3,USDT-USDF,33040427.00,19.5548,2025-10-24 19:43:49.073 +0300,false,,"{USDT,USDF}","{0xdac17f958d2ee523a2206206994597c13d831ec7,0xfa2b947eec368f42195f24f36d2af29f7c24cec2}"
"14681aee-05c9-4733-acd0-7b2c84616209",PYUSD-USDC,Ethereum,curve-dex,PYUSD-USDC,28472525.00,7.2420,2025-10-24 19:43:49.073 +0300,false,,"{PYUSD,USDC}","{0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48}"
d1e920be-1fae-4233-adb4-83ca3f265b0b,USDE,Ethereum,pendle,USDE,19671446.00,6.0473,2025-10-24 19:43:49.074 +0300,false,,{USDe},{0x4c9edd5852cd905f086c759e8383e09bff1e68b3}
"977bc628-7476-43cf-abb8-68934bf56171",USDC-USDF,Ethereum,convex-finance,USDC-USDF,15266260.00,12.3560,2025-10-24 19:43:49.074 +0300,false,,"{USDC,USDF}","{0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xFa2B947eEc368f42195f24F36d2aF29f7c24CeC2}"
d826a92b-2bd2-4fae-8483-db1ef8888aee,USDC-RLUSD,Ethereum,convex-finance,USDC-RLUSD,13454552.00,10.2744,2025-10-24 19:43:49.074 +0300,false,,"{USDC,RLUSD}","{0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD}"
"231ad8e7-b62d-4bd3-9d45-95d0b2fc43f9",USDC,Ethereum,yearn-finance,USDC,12802571.00,6.5336,2025-10-24 19:43:49.074 +0300,false,,{USDC},{0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48}
"802d35a2-5bae-456f-a2a9-4e1b48e0dec5",DAI-USDT,Ethereum,uniswap-v3,DAI-USDT,10924091.00,27.6496,2025-10-24 19:43:49.074 +0300,false,,"{DAI,USDT}","{0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7}"
"81f0762a-8596-46e2-aca7-c2cac4958a1e",CRVUSD,Ethereum,convex-finance,CRVUSD,10758652.00,7.0328,2025-10-24 19:43:49.074 +0300,false,,{crvUSD},{0xf939e0a03fb07f59a73314e73794be0e57ac1b4e}
"755fcec6-f4fd-4150-9184-60f099206694",USDC-CRVUSD,Ethereum,convex-finance,USDC-CRVUSD,8622878.00,7.1551,2025-10-24 19:43:49.074 +0300,false,,"{USDC,crvUSD}","{0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E}"
a3ffd3fe-b21c-44eb-94d5-22c80057a600,USDT-CRVUSD,Ethereum,convex-finance,USDT-CRVUSD,6523918.00,7.4362,2025-10-24 19:43:49.074 +0300,false,,"{USDT,crvUSD}","{0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E}"
"8d2a1154-094c-449e-bc5a-0e6bc418066c",USDF,Ethereum,pendle,USDF,4206474.00,8.2042,2025-10-24 19:43:49.075 +0300,false,,{USDF},{0xfa2b947eec368f42195f24f36d2af29f7c24cec2}
eb0af544-1cc0-4617-8187-218fef3a24f9,CRVUSD,Ethereum,convex-finance,CRVUSD,3974643.00,12.9786,2025-10-24 19:43:49.075 +0300,false,,{crvUSD},{0xf939e0a03fb07f59a73314e73794be0e57ac1b4e}
a4236681-173c-4a52-97d2-30c61f07141b,CRVUSD,Ethereum,yearn-finance,CRVUSD,2990566.00,10.3976,2025-10-24 19:43:49.075 +0300,false,,{crvUSD},{0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E}
b9c2067b-f491-4dfa-bedf-59194c4c7aa0,RLUSD,Ethereum,euler-v2,RLUSD,2704515.00,6.2104,2025-10-24 19:43:49.075 +0300,false,,{RLUSD},{0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD}
